mol_id,raw_smiles,canonical_smiles,isomeric_smiles,inchi_key,skeleton_key,tautomer_family_key,molecular_weight,formal_charge,heavy_atom_count,status,message,no,cas,pLC50,exposure_type,effect,Literature,DOI,Type
Chlorobenzene,Clc1ccccc1,Clc1ccccc1,Clc1ccccc1,MVPPADPHJFYWMZ-UHFFFAOYSA-N,MVPPADPHJFYWMZ,MVPPADPHJFYWMZ-UHFFFAOYSA-N,112.55899999999997,0,7,success,ok,26,108-90-7,3.82,F,MOR,"Geiger,D.L., L.T. Brooke, and D.J. Call, 1990. Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas), Volume V. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:332 p.",Structure‐activity relationships for Pimephales and Tetrahymena: A mechanism of action approach,Benzenehalide
"2,2',3,3',4,4',5,5'-Octachloro-1,1'-biphenyl",Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,DTMRKGRREZAYAP-UHFFFAOYSA-N,DTMRKGRREZAYAP,DTMRKGRREZAYAP-UHFFFAOYSA-N,429.77200000000016,0,20,success,ok,27,35694-08-7,9.33,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,2',3,3',4,4',6-Heptachloro-1,1'-biphenyl",Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,TZMHVHLTPWKZCI-UHFFFAOYSA-N,TZMHVHLTPWKZCI,TZMHVHLTPWKZCI-UHFFFAOYSA-N,395.3270000000001,0,19,success,ok,28,52663-71-5,8.29,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,2',3,3',4,4'-Hexachloro-1,1'-biphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,BTAGRXWGMYTPBY-UHFFFAOYSA-N,BTAGRXWGMYTPBY,BTAGRXWGMYTPBY-UHFFFAOYSA-N,360.88200000000006,0,18,success,ok,29,38380-07-3,8.78,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,2',4,4',5,5'-Hexachloro-1,1'-biphenyl",Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl,MVWHGTYKUMDIHL-UHFFFAOYSA-N,MVWHGTYKUMDIHL,MVWHGTYKUMDIHL-UHFFFAOYSA-N,360.88200000000006,0,18,success,ok,30,35065-27-1,8.44,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,2',4,5,5'-Pentachloro-1,1'-biphenyl",Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)c1,LAHWLEDBADHJGA-UHFFFAOYSA-N,LAHWLEDBADHJGA,LAHWLEDBADHJGA-UHFFFAOYSA-N,326.437,0,17,success,ok,31,37680-73-2,7.51,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172","DERIVATION OF ENVIRONMENTAL QUALITY STANDARDS BY ECOLOGICAL RISKASSESSMENT APPROACHUSING AQUATOXMODEL, Journal of Environmental Protection and Ecology 18,No 1,71-83(2017)",PCBs
"2,2',5,5'-Tetrachloro-1,1'-biphenyl",Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1,HCWZEPKLWVAEOV-UHFFFAOYSA-N,HCWZEPKLWVAEOV,HCWZEPKLWVAEOV-UHFFFAOYSA-N,291.992,0,16,success,ok,32,35693-99-3,6.99,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,2',5-Trichloro-1,1'-biphenyl",Clc1ccc(Cl)c(-c2ccccc2Cl)c1,Clc1ccc(Cl)c(-c2ccccc2Cl)c1,Clc1ccc(Cl)c(-c2ccccc2Cl)c1,DCMURXAZTZQAFB-UHFFFAOYSA-N,DCMURXAZTZQAFB,DCMURXAZTZQAFB-UHFFFAOYSA-N,257.547,0,15,success,ok,33,37680-65-2,6.88,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,3,4,5,6-Pentachloro-1,1'-biphenyl",Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl,GGMPTLAAIUQMIE-UHFFFAOYSA-N,GGMPTLAAIUQMIE,GGMPTLAAIUQMIE-UHFFFAOYSA-N,326.437,0,17,success,ok,34,18259-05-7,7.61,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"2,4,4'-Trichloro-1,1'-biphenyl",Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1,BZTYNSQSZHARAZ-UHFFFAOYSA-N,BZTYNSQSZHARAZ,BZTYNSQSZHARAZ-UHFFFAOYSA-N,257.54699999999997,0,15,success,ok,35,7012-37-5,6.2,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"3,3',4,4'-Tetrachloro-1,1'-biphenyl",Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,UQMGJOKDKOLIDP-UHFFFAOYSA-N,UQMGJOKDKOLIDP,UQMGJOKDKOLIDP-UHFFFAOYSA-N,291.99199999999996,0,16,success,ok,36,32598-13-3,8.16,R,MOR,"Black,M.C., W. Burton, J.F. McCarthy, M.J. Peterson, and G.R. Southworth, 1993. Accumulation of Contaminants by Biota in East Fork Poplar Creek. In: Oak Ridge Y12 Plant, Environ.Sci.Div.Publ.No.3859, Oak Ridge Natl.Lab., Oak Ridge, TN4:109-172",,PCBs
"3,3'-Dichloro-[1,1'-biphenyl]-4,4'-diamine",Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,HUWXDEQWWKGHRV-UHFFFAOYSA-N,HUWXDEQWWKGHRV,HUWXDEQWWKGHRV-UHFFFAOYSA-N,253.13199999999998,0,16,success,ok,37,91-94-1,5.08,F,MOR,"Brooke,L.T., 1991. Results of Freshwater Exposures with the Chemicals Atrazine, Biphenyl, Butachlor, Carbaryl, Carbazole, Dibenzofuran, 3,3'-Dichlorobenzidine, Dichlorvos, 1,2-Epoxyethylbenzene (Styrene Oxide), Isophorone, Isopropalin, Ox. Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:110 p.",,PCBs
AROCLOR 1242,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1,RKLLTEAEZIJBAU-UHFFFAOYSA-N,RKLLTEAEZIJBAU,RKLLTEAEZIJBAU-UHFFFAOYSA-N,291.99199999999996,0,16,success,ok,38,53469-21-9,7.29,F,MOR,"Nebeker,A.V., F.A. Puglisi, and D.L. DeFoe, 1974. Effect of Polychlorinated Biphenyl Compounds on Survival and Reproduction of the Fathead Minnow and Flagfish. Trans. Am. Fish. Soc.103(3): 562-568",10.1577/1548-8659(1974)103<562:EOPBCO>2.0.CO;2,PCBs
AROCLOR 1254,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl,AUGNBQPSMWGAJE-UHFFFAOYSA-N,AUGNBQPSMWGAJE,AUGNBQPSMWGAJE-UHFFFAOYSA-N,326.437,0,17,success,ok,39,11097-69-1,7.62,F,MOR,"Nebeker,A.V., F.A. Puglisi, and D.L. DeFoe, 1974. Effect of Polychlorinated Biphenyl Compounds on Survival and Reproduction of the Fathead Minnow and Flagfish. Trans. Am. Fish. Soc.103(3): 562-568",10.1577/1548-8659(1974)103<562:EOPBCO>2.0.CO;2,PCBs
